SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,0
a2E7NQC7nZB7WHEhKGhKnKvUWtsLAQzh,0
DABrJ6O4AotFwuAbfo1fuMj40VmMpPGX,0
ykoe1cCWK134BJmfbNoPEenJOIWdtQOZ,0
1pvLqtotBsKv7QSOsLicJDQMHx3lui6d,17
TAYxxh39I2LZnftBpL0LfF2NxzrCKpkx,16
5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6,5
NmbZ3BmS8V4pMg6oxXHWpqqMZCE1jvYt,6
9zpXzW9zCfU8KGBWkhlsGH8B8czISH4J,0
A3fsA9Zfv1X2fVEQhTw51lKENdNrEqT3,0
bWdj2GDclj5ofokWjzoa5jAwMkxCykd6,0
nSfGxfEtzw5G72fVbfaowxsV46Pg1xIc,260
5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,1
xMd9DzNyUCTLRPVbwWVzf4vq06oqrTT1,0
X78EhlW2JxwO1I6S3U4yZVwkEQpKXLOj,0
shM3Yy9vxHn2aqjSYfQXOcwGo0hWh3MI,473
q6A6QG7qMpyNcznyT2XaIxnfNGkZRxXl,298
3cnZpv6ReApmCaZyaQwi2izDZxVRdC01,0
9Mq1P5hrrLw6Bh9X4W4ZjisQJDdxjz9x,0
Wm3dddHSynJ76EJV6hyLYKGGRL0JF3YK,0
HbeAZjZFFQUe90oTP0RRO0PEtRAqU3kK,0
gvEwgd64UX4t3K7ftZwXiMkFuxFUAqQE,0
KHPw0gmg1Ad3V07TqRpyBzA8mRjj7mkt,1
9Bd26pfDLvkPINwLnpaGcf0LrLUvY1Mz,58
mTmmr5zd8l4wXhwiULwjSmSbi9ktcFmV,52
H2lDW05SyKnwntZ6Fora76aPAEswcMa5,1
81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv,0
AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,0
G8EPVSXsOYB5YQWZGiz1aVq5Pgr2GrQu,0
Er0RFawC4sHagDmmQZcBGBrzamLQcblZ,130
7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,129
RXDvfPUBYFlVdlueBFbLW0mhhAyGEqpt,4
fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,1
tXbz2ZYaRyb2ZsWUBPoYzAmisOhHQrYl,115
WM572q68zD5VW8pcvVTc1RhhFUq3iRFN,113
V4tXq15GxHo2gaMpaJLZ3IGEkP949IbE,37
3VkHkmOtom3jM2wCu94xgzzu1d6Dn7or,21
I7Go4XwWgpjRJM8EZGEnBpkfSmBNOlsO,0
DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0
